Orden inicial,Provincia,Barrio,Edad del jefe del hogar,Tiempo de residencia en la vivienda,Cantidad de integrantes
1,Chaco,Chacra 136,40,20,4
2,Chaco,Chacra 136,52,21,1
3,Chaco,Chacra 136,45,24,4
4,Chaco,Chacra 136,44,21,5
5,Chaco,Chacra 136,31,1,5
6,Chaco,Chacra 136,59,19,2
7,Chaco,Chacra 136,45,20,6
8,Chaco,Chacra 136,39,20,6
9,Chaco,Chacra 136,38,18,6
10,Chaco,Chacra 136,43,16,8
11,Chaco,Chacra 136,55,21,3
12,Chaco,Chacra 136,42,16,5
13,Chaco,Chacra 136,32,8,4
14,Chaco,Chacra 136,36,0,2
15,Chaco,Chacra 136,29,16,3
16,Chaco,Chacra 136,47,16,4
17,Chaco,Chacra 136,49,15,8
18,Chaco,Chacra 136,47,22,2
19,Chaco,Chacra 136,48,17,6
20,Chaco,Chacra 136,24,17,2
21,Chaco,Chacra 136,46,20,2
22,Chaco,Chacra 136,64,0,7
23,Chaco,Chacra 136,39,17,4
24,Chaco,Chacra 136,47,17,7
25,Chaco,Chacra 136,31,20,3
26,Chaco,Chacra 136,40,19,4
27,Chaco,Chacra 136,51,2,3
28,Chaco,Chacra 136,53,26,2
29,Chaco,Chacra 136,60,10,2
30,Chaco,Chacra 136,26,10,4
31,Chaco,Chacra 136,37,10,5
32,Chaco,Chacra 136,64,13,3
33,Chaco,Chacra 136,28,5,1
34,Chaco,Chacra 136,32,10,5
35,Chaco,Chacra 136,46,19,4
36,Chaco,Chacra 136,30,2,3
37,Formosa,San Juan Bautista,22,15,2
38,Formosa,San Juan Bautista,48,15,3
39,Formosa,San Juan Bautista,24,11,2
40,Formosa,San Juan Bautista,39,11,5
41,Formosa,San Juan Bautista,33,2,6
42,Formosa,San Juan Bautista,43,0,3
43,Formosa,San Juan Bautista,37,37,5
44,Formosa,San Juan Bautista,76,30,3
45,Formosa,San Juan Bautista,34,2,2
46,Formosa,San Juan Bautista,52,2,5
47,Formosa,San Juan Bautista,52,1,1
48,Formosa,San Juan Bautista,22,22,3
49,Formosa,San Juan Bautista,39,27,1
50,Formosa,San Juan Bautista,23,3,4
51,Formosa,San Juan Bautista,28,5,5
52,Formosa,San Juan Bautista,45,33,6
53,Formosa,San Juan Bautista,23,2,3
54,Formosa,San Juan Bautista,40,18,4
55,Formosa,San Juan Bautista,24,2,4
56,Formosa,San Juan Bautista,19,19,2
57,Formosa,San Juan Bautista,28,0,2
58,Formosa,San Juan Bautista,67,2,3
59,Formosa,San Juan Bautista,34,22,4
60,Formosa,San Juan Bautista,64,3,6
61,Formosa,San Juan Bautista,57,25,2
62,Formosa,San Juan Bautista,67,45,4
63,Formosa,San Juan Bautista,62,36,5
64,Formosa,San Juan Bautista,30,6,4
65,Formosa,San Juan Bautista,64,22,4
66,Formosa,San Juan Bautista,28,8,5
67,Formosa,San Juan Bautista,30,6,6
68,Formosa,San Juan Bautista,48,48,5
69,Formosa,San Juan Bautista,23,15,5
70,Formosa,San Juan Bautista,63,20,1
71,Formosa,San Juan Bautista,60,3,1
72,Formosa,San Juan Bautista,46,8,7
73,Formosa,San Juan Bautista,58,46,5
74,Formosa,San Juan Bautista,62,20,5
75,Formosa,San Juan Bautista,26,4,6
76,Formosa,San Juan Bautista,70,40,3
77,Jujuy,28 de Septiembre,49,24,7
78,Jujuy,28 de Septiembre,31,2,3
79,Jujuy,28 de Septiembre,52,22,4
80,Jujuy,28 de Septiembre,42,20,4
81,Jujuy,28 de Septiembre,40,22,7
82,Jujuy,28 de Septiembre,72,22,4
83,Jujuy,28 de Septiembre,40,22,5
84,Jujuy,28 de Septiembre,67,21,4
85,Jujuy,28 de Septiembre,42,20,9
86,Jujuy,28 de Septiembre,48,22,2
87,Jujuy,28 de Septiembre,43,6,7
88,Jujuy,28 de Septiembre,45,23,6
89,Jujuy,28 de Septiembre,49,21,9
