"","Orden incial","Plagas","¿Cuáles plagas?","...4","...5"
"1",1,"No",NA,NA,NA
"2",2,"Sí",NA,"Mosquitos",NA
"3",3,"Sí","Cucarachas","Mosquitos","Ratas"
"4",4,"Sí",NA,"Mosquitos",NA
"5",5,"Sí","Cucarachas","Mosquitos","Ratas"
"6",6,"Sí",NA,"Mosquitos",NA
"7",7,"Sí",NA,NA,"Ratas"
"8",8,"Sí",NA,"Mosquitos",NA
"9",9,"Sí",NA,"Mosquitos","Ratas"
"10",10,"Sí","Cucarachas","Mosquitos","Ratas"
"11",11,"Sí","Cucarachas","Mosquitos","Ratas"
"12",12,"No",NA,NA,NA
"13",13,"Sí",NA,"Mosquitos",NA
"14",14,"No",NA,NA,NA
"15",15,"Sí","Cucarachas","Mosquitos","Ratas"
"16",16,"No",NA,NA,NA
"17",17,"Sí","Cucarachas","Mosquitos","Ratas"
"18",18,"Sí","Cucarachas","Mosquitos","Ratas"
"19",19,"Sí",NA,"Mosquitos",NA
"20",20,"No",NA,NA,NA
"21",21,"Sí","Cucarachas","Mosquitos","Ratas"
"22",22,"Sí","Cucarachas","Mosquitos",NA
"23",23,"Sí",NA,"Mosquitos","Ratas"
"24",24,"Sí",NA,"Mosquitos",NA
"25",25,"Sí","Cucarachas","Mosquitos",NA
"26",26,"No",NA,NA,NA
"27",27,"No",NA,NA,NA
"28",28,"Sí","Cucarachas","Mosquitos","Ratas"
"29",29,"Sí",NA,"Mosquitos","Ratas"
"30",30,"Sí",NA,"Mosquitos","Ratas"
"31",31,"Sí","Cucarachas","Mosquitos",NA
"32",32,"Sí","Cucarachas","Mosquitos",NA
"33",33,"Sí",NA,"Mosquitos",NA
"34",34,"Sí",NA,"Mosquitos","Ratas"
"35",35,"No",NA,NA,NA
"36",36,"No",NA,NA,NA
"37",37,"Sí",NA,"Mosquitos",NA
"38",38,"Sí",NA,"Mosquitos",NA
"39",39,"No",NA,NA,NA
"40",40,"Sí","Cucarachas","Mosquitos","Ratas"
"41",41,"Sí",NA,"Mosquitos",NA
"42",42,"Sí","Cucarachas","Mosquitos",NA
"43",43,"Sí",NA,"Mosquitos",NA
"44",44,"Sí",NA,"Mosquitos",NA
"45",45,"Sí",NA,"Mosquitos",NA
"46",46,"Sí","Cucarachas","Mosquitos","Ratas"
"47",47,"Sí","Cucarachas","Mosquitos",NA
"48",48,"Sí","Cucarachas","Mosquitos",NA
"49",49,"Sí",NA,"Mosquitos",NA
"50",50,"No",NA,NA,NA
"51",51,"Sí",NA,"Mosquitos",NA
"52",52,"No",NA,NA,NA
"53",53,"Sí",NA,"Mosquitos",NA
"54",54,"Sí",NA,"Mosquitos","Ratas"
"55",55,"Sí","Cucarachas","Mosquitos","Ratas"
"56",56,"No",NA,NA,NA
"57",57,"Sí",NA,"Mosquitos",NA
