"","Orden incial","Basurales cerca","Frecuencia de recoleccion"
"1",1,"No","Entre 2 y 4 veces a la semana"
"2",2,"No","Entre 2 y 4 veces a la semana"
"3",3,"No","Entre 2 y 4 veces a la semana"
"4",4,"No","Entre 2 y 4 veces a la semana"
"5",5,"Sí, a menos de 500 metros","Una vez a la semana"
"6",6,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"7",7,"No","Al menos 5 veces a la semana"
"8",8,"No","Al menos 5 veces a la semana"
"9",9,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"10",10,"No","Entre 2 y 4 veces a la semana"
"11",11,"No","Entre 2 y 4 veces a la semana"
"12",12,"No","Entre 2 y 4 veces a la semana"
"13",13,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"14",14,"No","Entre 2 y 4 veces a la semana"
"15",15,"No","Entre 2 y 4 veces a la semana"
"16",16,"No","Entre 2 y 4 veces a la semana"
"17",17,"No","Entre 2 y 4 veces a la semana"
"18",18,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"19",19,"No","Entre 2 y 4 veces a la semana"
"20",20,"No","Entre 2 y 4 veces a la semana"
"21",21,"No","Una vez a la semana"
"22",22,"No","Entre 2 y 4 veces a la semana"
"23",23,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"24",24,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"25",25,"No","Entre 2 y 4 veces a la semana"
"26",26,"No","Al menos 5 veces a la semana"
"27",27,"No","Al menos 5 veces a la semana"
"28",28,"No","Entre 2 y 4 veces a la semana"
"29",29,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"30",30,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"31",31,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"32",32,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"33",33,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"34",34,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"35",35,"No","Al menos 5 veces a la semana"
"36",36,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"37",37,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"38",38,"Sí, a más de 500 metros y menos de 2 kilómetros","No hay servicio de recolección municipal"
"39",39,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"40",40,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"41",41,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"42",42,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"43",43,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"44",44,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"45",45,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"46",46,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
