Orden incial,Cantidad de personas por dormitorio
1,3
2,1
3,1
4,2
5,5
6,1
7,4
8,2
9,2
10,4
11,2
12,2
13,2
14,1
15,3
16,2
17,6
18,2
19,3
20,2
21,2
22,5
23,1
24,2
25,1
26,2
27,2
28,1
29,2
30,2
31,2
32,3
33,3
34,3
35,2
36,1
37,2
38,5
39,1
40,3
41,1
42,2
43,5
44,2
45,3
46,2
47,4
48,2
49,2
50,2
51,4
52,3
53,2
54,1
55,2
56,4
57,2
58,2
59,2
60,1
61,1
62,5
63,4
64,3
65,2
66,2
67,5
68,3
69,2
70,3
71,3
72,2
73,4
74,7
75,7
76,4
77,4
78,2
79,2
80,2
81,4
82,2
83,1
84,2
85,3
86,2
87,2
88,1
89,4
90,9
91,2
92,3
93,2
94,1
95,2
96,5
97,3
98,3
99,3
100,1
101,1
102,3
103,1
104,2
105,2
106,1
107,7
108,5
109,3
110,3
111,4
112,6
113,8
114,4
115,3
116,2
117,5
118,1
119,7
120,4
121,2
122,8
123,5
124,4
125,1
126,4
127,4
128,3
129,4
130,5
131,4
132,4
133,3
134,9
135,5
136,5
137,6
138,4
139,4
140,4
141,5
142,4
143,2
144,4
145,4
146,1
147,4
148,4
149,2
150,1
151,4
152,2
153,4
154,3
155,1
156,2
157,4
158,2
159,2
160,1
161,2
162,1
163,2
164,4
165,4
166,3
167,1
168,2
169,3
170,4
171,1
172,2
173,4
174,3
175,6
176,2
177,2
178,3
179,2
180,2
181,2
182,2
183,2
184,5
185,2
186,2
187,2
188,1
189,2
190,2
191,1
192,2
193,1
194,2
195,3
196,2
197,1
198,2
199,3
200,1
201,2
202,1
203,2
204,2
205,2
206,2
207,2
208,5
209,2
210,1
211,2
212,2
213,2
214,1
215,5
216,2
217,2
218,2
219,2
220,1
221,1
222,2
223,3
224,7
225,5
226,2
227,3
228,1
229,5
230,6
231,2
232,1
233,2
234,2
235,2
236,2
237,1
238,1
239,2
240,1
241,2
242,1
243,1
244,2
245,1
246,3
247,2
248,2
249,2
250,2
251,2
252,2
253,2
254,3
255,4
256,3
257,2
258,4
259,1
260,2
261,1
262,4
263,3
264,3
265,4
266,5
267,2
268,2
269,2
270,3
271,2
272,1
273,3
274,1
275,2
276,3
277,1
278,3
279,2
280,2
281,2
282,3
283,2
284,2
285,2
286,2
287,2
288,1
289,2
290,4
291,3
292,2
293,2
294,4
295,1
296,1
297,4
298,2
299,1
300,4
301,3
302,2
303,2
304,3
305,4
306,5
307,5
308,5
309,4
310,4
311,2
312,2
313,2
