"","Orden incial","El lugar que habitan es:","Contrato firmado","Costo actual","Aumento ultimo año","Porcentaje aumento"
"1",1,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"2",2,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"3",3,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"4",4,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"5",5,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"6",6,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"7",7,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"8",8,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"9",9,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"10",10,"Propio sin títulos",NA,NA,NA,NA
"11",11,"Propio sin títulos",NA,NA,NA,NA
"12",12,"Propio sin títulos",NA,NA,NA,NA
"13",13,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"14",14,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"15",15,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"16",16,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"17",17,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"18",18,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"19",19,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"20",20,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"21",21,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"22",22,"Propio sin títulos",NA,NA,NA,NA
"23",23,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"24",24,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"25",25,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"26",26,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"27",27,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"28",28,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"29",29,"Propio sin títulos",NA,NA,NA,NA
"30",30,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"31",31,"Propio sin títulos",NA,NA,NA,NA
"32",32,"Propio sin títulos",NA,NA,NA,NA
"33",33,"Ocupado/Tomado",NA,NA,NA,NA
"34",34,"Propio sin títulos",NA,NA,NA,NA
"35",35,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"36",36,"Propio sin títulos",NA,NA,NA,NA
"37",37,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"38",38,"Propio sin títulos",NA,NA,NA,NA
"39",39,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"40",40,"Prestado",NA,NA,NA,NA
"41",41,"Alquilado","No",4500,1000,0.2857142857
"42",42,"Propio sin títulos",NA,NA,NA,NA
"43",43,"Propio sin títulos",NA,NA,NA,NA
"44",44,"Propio sin títulos",NA,NA,NA,NA
"45",45,"Propio sin títulos",NA,NA,NA,NA
"46",46,"Propio sin títulos",NA,NA,NA,NA
"47",47,"Alquilado","No",7000,2000,0.4
"48",48,"Prestado",NA,NA,NA,NA
"49",49,"Propio sin títulos",NA,NA,NA,NA
"50",50,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"51",51,"Propio sin títulos",NA,NA,NA,NA
"52",52,"Propio sin títulos",NA,NA,NA,NA
"53",53,"Propio sin títulos",NA,NA,NA,NA
"54",54,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"55",55,"Propio sin títulos",NA,NA,NA,NA
"56",56,"Prestado",NA,NA,NA,NA
"57",57,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"58",58,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"59",59,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"60",60,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"61",61,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"62",62,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"63",63,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"64",64,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"65",65,"Propio sin títulos",NA,NA,NA,NA
"66",66,"Alquilado","No",6000,1000,0.2
"67",67,"Propio sin títulos",NA,NA,NA,NA
"68",68,"Propio sin títulos",NA,NA,NA,NA
"69",69,"Propio sin títulos",NA,NA,NA,NA
"70",70,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"71",71,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"72",72,"Propio sin títulos",NA,NA,NA,NA
"73",73,"Alquilado","No",10000,0,0
"74",74,"Propio sin títulos",NA,NA,NA,NA
"75",75,"Propio sin títulos",NA,NA,NA,NA
"76",76,"Propio sin títulos",NA,NA,NA,NA
"77",77,"Propio sin títulos",NA,NA,NA,NA
"78",78,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"79",79,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"80",80,"Propio sin títulos",NA,NA,NA,NA
"81",81,"Propio sin títulos",NA,NA,NA,NA
"82",82,"Propio sin títulos",NA,NA,NA,NA
