"","Orden incial","¿Cuál es la principal fuente de energía que utiliza para calefaccionar la vivienda?","...3","...4","...5","...6","...7","Ventilacion de calefaccion"
"1",1,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"2",2,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"3",3,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"4",4,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"5",5,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"6",6,NA,NA,"Electricidad",NA,NA,NA,NA
"7",7,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"8",8,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"9",9,NA,NA,"Electricidad",NA,NA,NA,NA
"10",10,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"11",11,NA,NA,NA,"Leña/Carbón","No tengo para calefaccionar mi vivienda",NA,NA
"12",12,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"13",13,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"14",14,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"15",15,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"16",16,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"17",17,NA,NA,"Electricidad",NA,NA,NA,NA
"18",18,NA,NA,"Electricidad",NA,NA,NA,NA
"19",19,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"20",20,NA,NA,"Electricidad",NA,NA,NA,NA
"21",21,NA,NA,"Electricidad",NA,NA,NA,NA
"22",22,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"23",23,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"24",24,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"25",25,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"26",26,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"27",27,NA,NA,"Electricidad",NA,NA,NA,NA
"28",28,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"29",29,NA,NA,"Electricidad",NA,NA,NA,NA
"30",30,NA,NA,"Electricidad",NA,NA,NA,NA
"31",31,NA,NA,"Electricidad",NA,NA,NA,NA
"32",32,NA,NA,"Electricidad",NA,NA,NA,NA
"33",33,NA,NA,"Electricidad",NA,NA,NA,NA
"34",34,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"35",35,NA,NA,"Electricidad",NA,NA,NA,NA
"36",36,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda","No necesito calefaccionar mi vivienda en ninguna época del año",NA
"37",37,NA,NA,"Electricidad",NA,NA,NA,NA
"38",38,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"39",39,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"40",40,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"41",41,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"42",42,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"43",43,NA,NA,"Electricidad",NA,NA,NA,NA
"44",44,NA,NA,"Electricidad",NA,NA,NA,NA
"45",45,NA,NA,"Electricidad",NA,NA,NA,NA
"46",46,NA,NA,NA,"Leña/Carbón",NA,NA,"No"
"47",47,NA,NA,"Electricidad",NA,NA,NA,NA
"48",48,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"49",49,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"50",50,NA,NA,"Electricidad",NA,NA,NA,NA
"51",51,NA,NA,"Electricidad",NA,NA,NA,NA
"52",52,NA,NA,"Electricidad",NA,NA,NA,NA
"53",53,NA,NA,"Electricidad",NA,NA,NA,NA
"54",54,NA,NA,"Electricidad",NA,NA,NA,NA
"55",55,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"56",56,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"57",57,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"58",58,NA,NA,"Electricidad",NA,NA,NA,NA
"59",59,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"60",60,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"61",61,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"62",62,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"63",63,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"64",64,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"65",65,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"66",66,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"67",67,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"68",68,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"69",69,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"70",70,NA,NA,"Electricidad",NA,NA,NA,NA
"71",71,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
