"","Orden incial","Conexion a red electrica"
"1",1,"Conexión sin medidor a una red eléctrica (“informal”)"
"2",2,"Conexión a través de un medidor a la red eléctrica"
"3",3,"Conexión sin medidor a una red eléctrica (“informal”)"
"4",4,"Conexión sin medidor a una red eléctrica (“informal”)"
"5",5,"Conexión sin medidor a una red eléctrica (“informal”)"
"6",6,"Conexión a través de un medidor a la red eléctrica"
"7",7,"Conexión a través de un medidor a la red eléctrica"
"8",8,"Conexión sin medidor a una red eléctrica (“informal”)"
"9",9,"Conexión sin medidor a una red eléctrica (“informal”)"
"10",10,"Conexión sin medidor a una red eléctrica (“informal”)"
"11",11,"Conexión sin medidor a una red eléctrica (“informal”)"
"12",12,"Conexión sin medidor a una red eléctrica (“informal”)"
"13",13,"Conexión sin medidor a una red eléctrica (“informal”)"
"14",14,"Conexión sin medidor a una red eléctrica (“informal”)"
"15",15,"Conexión sin medidor a una red eléctrica (“informal”)"
"16",16,"Conexión sin medidor a una red eléctrica (“informal”)"
"17",17,"Conexión sin medidor a una red eléctrica (“informal”)"
"18",18,"Conexión a través de un medidor a la red eléctrica"
"19",19,"Conexión sin medidor a una red eléctrica (“informal”)"
"20",20,"Conexión sin medidor a una red eléctrica (“informal”)"
"21",21,"Conexión sin medidor a una red eléctrica (“informal”)"
"22",22,"Conexión sin medidor a una red eléctrica (“informal”)"
"23",23,"Conexión sin medidor a una red eléctrica (“informal”)"
"24",24,"Conexión sin medidor a una red eléctrica (“informal”)"
"25",25,"Conexión sin medidor a una red eléctrica (“informal”)"
"26",26,"Conexión sin medidor a una red eléctrica (“informal”)"
"27",27,"Conexión a través de un medidor a la red eléctrica"
"28",28,"Conexión sin medidor a una red eléctrica (“informal”)"
"29",29,"Conexión sin medidor a una red eléctrica (“informal”)"
"30",30,"Conexión sin medidor a una red eléctrica (“informal”)"
"31",31,"Conexión sin medidor a una red eléctrica (“informal”)"
"32",32,"Conexión sin medidor a una red eléctrica (“informal”)"
"33",33,"Conexión sin medidor a una red eléctrica (“informal”)"
"34",34,"Conexión sin medidor a una red eléctrica (“informal”)"
"35",35,"Conexión a través de un medidor a la red eléctrica"
"36",36,"Conexión a través de un medidor a la red eléctrica"
"37",37,"Conexión sin medidor a una red eléctrica (“informal”)"
